longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0.204183,0.560043,1,0.0256371,0.0322781,0.0168446,0.0305871,0.0459856,78400,0.75
0.204183,0.560043,0.921569,0.0369551,0.0547796,0.0220017,0.0544318,0.0210825,84400,0.75
0.205179,0.55898,1,0.0260695,0.0377095,0.0137055,0.0240092,0.145481,81300,0.75
0.204183,0.560043,1,0.0144972,0.0167598,0.0075955,0.0133202,0.0932194,85000,0.75
0.205179,0.560043,0.882353,0.0711888,0.0997827,0.0510104,0.100312,0.0331237,129200,0.75
0.205179,0.560043,0.490196,0.0194822,0.0234327,0.0109028,0.0207203,0.0877229,82500,0.75
0.205179,0.560043,0.882353,0.0237296,0.0459342,0.016228,0.0453873,0.0157722,95200,0.75
0.205179,0.560043,0.941176,0.0214151,0.0315022,0.0156114,0.0248314,0.0862126,75000,0.75
0.205179,0.560043,0.882353,0.000254336,0.000465549,0.000420415,0.00098668,0,67500,0.75
0.205179,0.560043,0.372549,0.0211862,0.0248293,0.00804395,0.021707,0.136764,137500,0.75
0.206175,0.560043,0.313725,0.0314105,0.0715394,0.021273,0.0720276,0.0292548,177500,0.75
0.206175,0.560043,0.686275,0.0740628,0.0870577,0.0345581,0.0835389,0.13424,102100,0.75
0.206175,0.560043,0.352941,0.0306475,0.0375543,0.0201239,0.033876,0.0421511,108300,0.75
0.205179,0.560043,0.431373,0.0443308,0.0578833,0.0294571,0.0532807,0.0208756,112500,0.75
0.206175,0.55898,0.72549,0.0173457,0.027157,0.00955744,0.0253248,0.10424,131300,0.75
0.206175,0.560043,0.313725,0.0234498,0.0446927,0.0169848,0.0473606,0.0689715,162500,0.75
0.207171,0.560043,1,0.0052902,0.00853507,0.00504498,0.00904457,0.0459856,112500,0.75
0.206175,0.560043,1,0.00859657,0.0148976,0.00552146,0.0141424,0.0704059,112500,0.75
0.206175,0.560043,1,0.00976652,0.0252948,0.0096135,0.0253248,0.0212135,137500,0.75
0.206175,0.560043,0.666667,0.0240602,0.0283985,0.0130048,0.027627,0.0902677,118800,0.75
0.206175,0.560043,1,0.0196093,0.022036,0.0104824,0.0187469,0.131612,98200,0.75
0.207171,0.560043,0.764706,0.0223307,0.0698324,0.016228,0.0623253,0.032903,118800,0.75
0.207171,0.560043,0.176471,0.0222036,0.0538485,0.015219,0.0541029,0.0179377,162500,0.75
0.207171,0.55898,0.176471,0.00261967,0.00636251,0.00341938,0.00624897,0.032572,137500,0.75
0.207171,0.55898,1,0.00628211,0.0119491,0.0110149,0.0138135,0.0512752,500001,0.75
0.207171,0.55898,0.294118,0.0252302,0.0606766,0.0223381,0.0593652,0.109923,162500,0.75
0.206175,0.55898,1,0.00541737,0.0133457,0.0252529,0.0143069,0.0253031,137500,0.75
0.206175,0.55898,1,0.00239076,0.00465549,0.00526921,0.00542674,0.017248,162500,0.75
0.207171,0.557917,0.509804,0.0267816,0.0536934,0.0200398,0.0494984,0.147274,187500,0.75
0.207171,0.55898,0.745098,0.0435678,0.0965239,0.0371087,0.0766321,0.0929504,179200,0.75
0.208167,0.55898,0.686275,0.135485,0.384233,0.097144,0.381845,0.104116,130000,0.75
0.208167,0.561105,0.588235,0.116842,0.206394,0.0573166,0.193883,0.161005,183800,0.75
0.208167,0.560043,0.54902,0.0084694,0.0164494,0.00557751,0.0148002,0.103881,125000,0.75
0.208167,0.561105,0.411765,0.0935958,0.196927,0.056644,0.205394,0.0495579,170000,0.75
0.208167,0.561105,0.705882,0.0923496,0.168218,0.0514308,0.160993,0.14555,193100,0.75
0.209163,0.560043,0.54902,0.118368,0.219274,0.0644917,0.205394,0.137329,257800,0.75
0.209163,0.560043,0.529412,0.147617,0.248603,0.0717509,0.246012,0.187432,273400,0.75
0.209163,0.560043,0.745098,0.0216695,0.0373991,0.0108187,0.0373294,0.181039,237500,0.75
0.209163,0.560043,1,0.0547586,0.108628,0.0250007,0.100641,0.143419,350000,0.75
0.208167,0.560043,0.647059,0.14927,0.296865,0.0752824,0.294031,0.161425,335700,0.75
0.210159,0.561105,1,0.0383285,0.034761,0.0188066,0.0399605,0.305561,313400,0.75
0.210159,0.560043,1,0.0514777,0.0746431,0.0197876,0.0748232,0.191225,268500,0.75
0.209163,0.560043,1,0.0446615,0.0712291,0.0191429,0.069232,0.18408,259400,0.75
0.210159,0.561105,1,0.0884836,0.116387,0.0403879,0.117908,0.234486,275700,0.75
0.209163,0.561105,0.529412,0.0848212,0.132526,0.042518,0.131722,0.234921,225000,0.75
0.209163,0.561105,1,0.0361666,0.0446927,0.0153311,0.0414406,0.316671,262500,0.75
0.209163,0.561105,0.607843,0.0968259,0.170236,0.0505339,0.1679,0.147791,218500,0.75
0.209163,0.561105,0.490196,0.100641,0.185444,0.0489363,0.199967,0.174025,255000,0.75
0.209163,0.562168,1,0.0603795,0.0865922,0.0262339,0.0851834,0.182653,224100,0.75
0.209163,0.562168,0.666667,0.0409736,0.0662632,0.0188346,0.069232,0.204983,243100,0.75
0.209163,0.562168,1,0.0324788,0.0443824,0.0148827,0.0476895,0.182273,231600,0.75
0.209163,0.562168,0.529412,0.127677,0.271415,0.0716108,0.272981,0.132653,218500,0.75
0.209163,0.562168,1,0.106516,0.171322,0.0499734,0.170367,0.178604,234100,0.75
0.211155,0.563231,0.960784,0.0639147,0.0617629,0.0271028,0.0611741,0.369629,327600,0.75
0.211155,0.563231,0.901961,0.080701,0.070298,0.0306903,0.0795922,0.330126,347600,0.75
0.210159,0.562168,0.784314,0.0654662,0.0628492,0.0221699,0.0616675,0.376278,366100,0.75
0.210159,0.564293,0.705882,0.00844397,0.00822471,0.00266263,0.00756455,0.307885,335000,0.75
0.211155,0.564293,1,0.0711633,0.0636251,0.0296533,0.0661075,0.402994,373600,0.75
0.210159,0.563231,1,0.0897045,0.0889199,0.0329045,0.0911034,0.322575,389500,0.75
0.210159,0.564293,1,0.0663818,0.0564867,0.0251689,0.0601875,0.464511,391100,0.75
0.212151,0.564293,0.529412,0.134417,0.162477,0.0568402,0.157047,0.341864,337300,0.75
0.212151,0.563231,0.960784,0.0745969,0.0732464,0.0288125,0.0786055,0.482759,295200,0.75
0.213147,0.563231,0.843137,0.0870339,0.0924891,0.0379775,0.0980102,0.38065,292300,0.75
0.213147,0.562168,0.764706,0.126888,0.104438,0.0452087,0.107384,0.486511,411500,0.75
0.214143,0.563231,0.568627,0.0561829,0.0535382,0.0235713,0.0562407,0.383905,311500,0.75
0.213147,0.563231,0.647059,0.0772165,0.0758845,0.0318675,0.0814011,0.452056,325900,0.75
0.215139,0.563231,0.333333,0.0410753,0.0324333,0.0148547,0.0317382,0.765631,392600,0.75
0.214143,0.563231,0.666667,0.0728165,0.0712291,0.0299616,0.0726854,0.481945,319300,0.75
0.213147,0.562168,0.647059,0.128771,0.122129,0.045517,0.125802,0.441215,333300,0.75
0.215139,0.562168,0.529412,0.0336741,0.0283985,0.0128927,0.0310804,0.531372,335200,0.75
0.214143,0.562168,0.490196,0.0403632,0.0344507,0.0151069,0.0345338,0.544896,351200,0.75
0.215139,0.562168,0.54902,0.0455008,0.0418994,0.0184422,0.0440717,0.438194,368900,0.75
0.215139,0.561105,0.607843,0.0466199,0.0408132,0.0177135,0.043085,0.539103,365900,0.75
0.214143,0.561105,0.705882,0.0312071,0.027933,0.0116875,0.0287782,0.449483,366700,0.75
0.214143,0.561105,0.745098,0.095834,0.0827126,0.0353709,0.0820589,0.402084,362800,0.75
0.216135,0.560043,0.568627,0.00737576,0.00574178,0.00344741,0.00838678,0.404305,483300,0.75
0.213147,0.561105,1,0.060354,0.0515208,0.0227024,0.0573919,0.452063,331400,0.75
0.214143,0.560043,0.862745,0.0753345,0.0675047,0.0298215,0.0698898,0.433456,323500,0.75
0.213147,0.55898,0.960784,0.0720026,0.0937306,0.0352308,0.0906101,0.165032,216700,0.75
0.213147,0.55898,0.72549,0.0572766,0.0828678,0.0265703,0.0799211,0.178018,233100,0.75
0.213147,0.560043,1,0.0352765,0.0327436,0.01421,0.0366716,0.326913,296400,0.75
0.212151,0.560043,1,0.0500788,0.0518312,0.0213571,0.0504851,0.415291,273700,0.75
0.212151,0.55898,1,0.0554708,0.072005,0.0315592,0.075481,0.19057,227700,0.75
0.212151,0.55898,1,0.0580904,0.0718498,0.0299896,0.0723565,0.174473,199600,0.75
0.212151,0.55898,1,0.0691541,0.0837989,0.0331287,0.0845256,0.278817,239800,0.75
0.212151,0.560043,1,0.0514268,0.0524519,0.0211049,0.0557474,0.246348,270100,0.75
0.212151,0.560043,1,0.0748258,0.083023,0.0288965,0.0855123,0.334547,302100,0.75
0.211155,0.55898,1,0.0516557,0.0752638,0.0219737,0.0753166,0.183473,269500,0.75
0.211155,0.560043,1,0.0363955,0.0353818,0.0170689,0.0348627,0.294541,314700,0.75
0.212151,0.560043,1,0.0743934,0.0622284,0.0285322,0.0623253,0.528027,390100,0.75
0.211155,0.560043,1,0.058828,0.0451583,0.0240478,0.0422628,0.577882,410300,0.75
0.210159,0.560043,1,0.0631517,0.0484171,0.0266263,0.0536096,0.438559,352400,0.75
0.210159,0.560043,1,0.0378453,0.0367784,0.0176855,0.0419339,0.381395,287300,0.75
0.211155,0.560043,1,0.0715194,0.0564867,0.0245242,0.0577208,0.483311,348700,0.75
0.210159,0.560043,1,0.0531817,0.0851955,0.0256453,0.0792633,0.155019,243800,0.75
0.210159,0.55898,1,0.0225342,0.0259156,0.0100059,0.0286137,0.11686,211500,0.75
0.209163,0.55898,1,0.0530291,0.0789882,0.0334651,0.0800855,0.173446,218400,0.75
0.210159,0.560043,1,0.0638639,0.0777467,0.0292889,0.0850189,0.218969,269900,0.75
0.209163,0.560043,0.882353,0.0821507,0.129423,0.0383979,0.122677,0.187935,218800,0.75
0.209163,0.55898,0.803922,0.104736,0.165115,0.0479834,0.166749,0.167901,225000,0.75
0.209163,0.55898,0.823529,0.0600743,0.12275,0.0380055,0.118566,0.113309,250000,0.75
0.209163,0.55898,0.784314,0.037362,0.0726257,0.0296813,0.067752,0.0767024,171400,0.75
0.209163,0.55898,0.54902,0.0627194,0.133923,0.0373329,0.126953,0.0615854,193800,0.75
0.210159,0.557917,0.509804,0.0414568,0.0761949,0.0327363,0.0703832,0.125336,125000,0.75
0.209163,0.557917,0.862745,0.0453736,0.0814711,0.0412568,0.075481,0.0880884,97500,0.75
0.209163,0.557917,0.960784,0.0159469,0.0290192,0.0207125,0.0320671,0.147991,125000,0.75
0.209163,0.557917,1,0.0340048,0.0605214,0.030354,0.0595297,0.115936,138800,0.75
0.209163,0.55898,0.686275,0.0426268,0.0938858,0.0460215,0.0891301,0.119336,116700,0.75
0.209163,0.55898,0.823529,0.0595656,0.100248,0.0478433,0.105739,0.0793437,151800,0.75
0.210159,0.55898,1,0.025281,0.0352266,0.0204042,0.0373294,0.122053,127000,0.75
0.210159,0.55898,1,0.0404141,0.0577281,0.0312509,0.0568985,0.114233,128600,0.75
0.210159,0.55898,1,0.0402869,0.0616077,0.0281118,0.0549252,0.11275,140600,0.75
0.210159,0.55898,0.901961,0.0519864,0.0910925,0.0339135,0.090939,0.146846,182700,0.75
0.211155,0.55898,1,0.030266,0.0446927,0.0215533,0.0420983,0.129888,146900,0.75
0.210159,0.55898,1,0.045806,0.0650217,0.0369405,0.0657787,0.169453,122800,0.75
0.210159,0.55898,0.941176,0.0721298,0.116077,0.0415931,0.111166,0.139577,169300,0.75
0.211155,0.55898,1,0.0198637,0.0283985,0.0135934,0.0304226,0.0991435,126600,0.75
0.211155,0.55898,0.980392,0.0403886,0.0640906,0.0265142,0.0642986,0.0967504,127900,0.75
0.211155,0.55898,0.960784,0.0443563,0.0743327,0.0321197,0.0680809,0.120695,123500,0.75
0.211155,0.55898,1,0.0317921,0.0462446,0.0235713,0.0458806,0.13055,111900,0.75
0.211155,0.557917,0.823529,0.15161,0.208411,0.122313,0.202269,0.116674,112800,0.75
0.211155,0.557917,1,0.0452973,0.0611421,0.0464139,0.0675876,0.167984,107900,0.75
0.211155,0.557917,0.568627,0.0253573,0.0408132,0.0282519,0.043085,0.0955504,137500,0.75
0.210159,0.557917,0.745098,0.0373112,0.0667287,0.0409485,0.0638053,0.11475,105500,0.75
0.210159,0.557917,0.901961,0.0348441,0.0611421,0.0345862,0.0496629,0.112074,95500,0.75
0.210159,0.557917,1,0.0170914,0.0277778,0.0180498,0.0274626,0.19828,116100,0.75
0.210159,0.557917,0.823529,0.0413042,0.0581937,0.0359035,0.058543,0.120985,112200,0.75
0.209163,0.557917,0.980392,0.00440002,0.00651769,0.00630623,0.00888012,0.11035,75000,0.75
0.209163,0.557917,0.745098,0.011674,0.0198634,0.0105945,0.0200625,0.0758679,112500,0.75
0.209163,0.557917,1,0.0228903,0.0366232,0.0236273,0.0371649,0.215521,125000,0.75
0.208167,0.55898,0.372549,0.0603032,0.120732,0.0464139,0.111001,0.0822747,115000,0.75
0.212151,0.555792,1,0.00989369,0.0197083,0.0144903,0.0225292,0.0791162,95000,0.75
0.212151,0.555792,1,0.0288672,0.0465549,0.0241879,0.0424272,0.144143,96400,0.75
0.211155,0.555792,1,0.0195076,0.0318125,0.0170689,0.0299293,0.142764,72000,0.75
0.211155,0.556854,1,0.0119538,0.0225016,0.0115474,0.0205558,0.147791,71300,0.75
0.211155,0.556854,1,0.0218729,0.0332092,0.0277754,0.0348627,0.174191,80800,0.75
0.212151,0.556854,0.960784,0.0487817,0.0820919,0.0426581,0.0782766,0.0681853,128800,0.75
0.211155,0.556854,0.823529,0.0360649,0.0730912,0.0421256,0.0718632,0.0988883,112500,0.75
0.211155,0.556854,1,0.0250267,0.0398821,0.0281678,0.0417694,0.0678956,119400,0.75
0.211155,0.556854,0.843137,0.0594639,0.127871,0.0787578,0.123335,0.07593,118100,0.75
0.211155,0.557917,0.921569,0.0430846,0.0612973,0.0414249,0.0562407,0.10604,122500,0.75
0.211155,0.557917,0.941176,0.0298337,0.0335196,0.0239917,0.0358494,0.12366,106300,0.75
0.212151,0.557917,0.705882,0.0595402,0.0889199,0.0449844,0.0858411,0.113757,132500,0.75
0.211155,0.557917,0.568627,0.0154637,0.0223464,0.0118277,0.0228581,0.0772334,122700,0.75
0.211155,0.557917,0.764706,0.0236024,0.0307263,0.0157235,0.0300937,0.0571165,113300,0.75
0.212151,0.557917,0.843137,0.037769,0.0485723,0.0268505,0.044565,0.207976,109500,0.75
0.212151,0.557917,1,0.0870339,0.106921,0.0636229,0.112481,0.234817,164700,0.75
0.213147,0.557917,1,0.0193296,0.0293296,0.0167325,0.0319026,0.178577,125000,0.75
0.212151,0.557917,0.882353,0.0601251,0.0890751,0.0460775,0.0864989,0.145122,124700,0.75
0.212151,0.557917,0.941176,0.046391,0.0696772,0.0335772,0.0695609,0.137936,136700,0.75
0.212151,0.557917,0.72549,0.0774963,0.11018,0.0606519,0.108206,0.158412,141700,0.75
0.214143,0.557917,0.54902,0.0416603,0.0581937,0.0262339,0.0557474,0.160839,150000,0.75
0.213147,0.557917,0.901961,0.0391932,0.047486,0.0239917,0.047854,0.169542,138800,0.75
0.213147,0.557917,0.647059,0.0600743,0.0862818,0.0424339,0.08469,0.161143,139200,0.75
0.213147,0.557917,0.666667,0.0443308,0.0633147,0.0319516,0.063312,0.163798,143800,0.75
0.213147,0.55898,0.745098,0.0508927,0.0774364,0.0309986,0.0761388,0.177122,156500,0.75
0.213147,0.55898,0.745098,0.0512742,0.0692117,0.0341377,0.0731788,0.177639,151000,0.75
0.214143,0.55898,0.823529,0.0773946,0.0772812,0.0311668,0.0746588,0.307306,273000,0.75
0.214143,0.55898,1,0.039295,0.0453135,0.0197035,0.0439073,0.29463,217100,0.75
0.213147,0.55898,1,0.0894501,0.11018,0.0526921,0.115935,0.205942,187100,0.75
0.214143,0.55898,0.784314,0.0525968,0.0547796,0.0224502,0.0557474,0.318513,239600,0.75
0.213147,0.55898,0.921569,0.033547,0.040658,0.0140979,0.0412761,0.248121,229700,0.75
0.215139,0.55898,0.921569,0.0430337,0.0400372,0.0170128,0.0389739,0.292693,257300,0.75
0.215139,0.55898,0.882353,0.0492395,0.0527623,0.0214412,0.0544318,0.26019,246900,0.75
0.215139,0.557917,0.960784,0.0245689,0.0301055,0.0128647,0.0300937,0.171342,179900,0.75
0.214143,0.557917,0.764706,0.0269088,0.0395717,0.0186104,0.0384805,0.253376,169600,0.75
0.214143,0.55898,0.882353,0.0518592,0.062694,0.0295972,0.0654498,0.230949,203300,0.75
0.215139,0.55898,1,0.0460603,0.0418994,0.0177696,0.0453873,0.242169,263400,0.75
0.215139,0.557917,0.862745,0.0690778,0.0698324,0.0309145,0.0744943,0.286644,231800,0.75
0.215139,0.557917,0.529412,0.0799125,0.117939,0.0486,0.10985,0.16757,140500,0.75
0.214143,0.557917,0.666667,0.0457806,0.0710739,0.0281959,0.0639697,0.124391,126000,0.75
0.214143,0.557917,0.941176,0.0223816,0.0301055,0.0205723,0.0343693,0.149432,122000,0.75
0.214143,0.557917,0.843137,0.0411771,0.0699876,0.0378654,0.0805789,0.146143,134700,0.75
0.213147,0.557917,0.862745,0.0537413,0.0825574,0.0427983,0.0777833,0.132191,139400,0.75
0.214143,0.557917,0.862745,0.0513505,0.0817815,0.039435,0.0787699,0.157163,115400,0.75
0.213147,0.556854,0.882353,0.0568951,0.0786778,0.0388744,0.0934057,0.154156,137300,0.75
0.213147,0.556854,1,0.0375146,0.0463998,0.0297654,0.0440717,0.092916,137000,0.75
0.213147,0.556854,1,0.0268071,0.0346058,0.0221138,0.040125,0.148853,142600,0.75
0.213147,0.556854,0.941176,0.0227885,0.0377095,0.0217495,0.040125,0.176115,137500,0.75
0.212151,0.556854,0.843137,0.0754362,0.110025,0.0635107,0.100148,0.130391,111700,0.75
0.213147,0.556854,0.823529,0.0432372,0.0712291,0.0343059,0.0667653,0.0840609,126800,0.75
0.213147,0.556854,0.901961,0.0223562,0.0383302,0.0210208,0.0394672,0.146557,111300,0.75
0.212151,0.555792,0.764706,0.0125134,0.0175357,0.0152471,0.0220358,0.158729,114800,0.75
0.212151,0.556854,0.960784,0.0451193,0.0732464,0.050562,0.0721921,0.0846678,102300,0.75
0.212151,0.556854,0.843137,0.0426268,0.0796089,0.047563,0.0812366,0.108978,131900,0.75
0.212151,0.556854,0.980392,0.041584,0.0716946,0.0431626,0.0644631,0.137177,119100,0.75
0.213147,0.554729,1,0.0360649,0.0485723,0.030326,0.0491695,0.0865298,80600,0.75
0.213147,0.555792,1,0.0149804,0.0266915,0.00980969,0.0223647,0.247617,80600,0.75
0.213147,0.555792,1,0.0188972,0.0235878,0.013173,0.0243381,0.150108,88800,0.75
0.214143,0.555792,0.941176,0.0577344,0.077126,0.0453488,0.0792633,0.133371,102400,0.75
0.213147,0.555792,0.882353,0.0313342,0.0580385,0.0330727,0.0580497,0.126274,98700,0.75
0.213147,0.555792,0.823529,0.0258151,0.0507449,0.0233471,0.0453873,0.121412,100000,0.75
0.215139,0.555792,0.803922,0.0236533,0.0392613,0.0251408,0.043085,0.0899298,92300,0.75
0.214143,0.555792,0.745098,0.0683402,0.0924891,0.0528322,0.0881434,0.121122,94800,0.75
0.214143,0.555792,0.784314,0.039295,0.0642458,0.0286163,0.0559119,0.10733,102000,0.75
0.214143,0.556854,1,0.0584465,0.0685909,0.0342498,0.0693965,0.209645,158400,0.75
0.214143,0.556854,0.745098,0.0445089,0.0617629,0.0299336,0.0616675,0.180466,121600,0.75
0.214143,0.556854,0.960784,0.0474337,0.0623836,0.0315312,0.0619964,0.140702,129100,0.75
0.214143,0.555792,0.823529,0.0617529,0.0777467,0.0429945,0.0794277,0.165384,121400,0.75
0.213147,0.556854,0.843137,0.0439239,0.0640906,0.0346703,0.0644631,0.125005,102800,0.75
0.215139,0.556854,1,0.0260441,0.0277778,0.0130609,0.0274626,0.163798,160000,0.75
0.215139,0.555792,1,0.0551401,0.0662632,0.030354,0.0697254,0.198039,143900,0.75
0.215139,0.555792,1,0.0591841,0.0689013,0.0319796,0.0684098,0.207687,151200,0.75
0.215139,0.556854,1,0.0633298,0.0642458,0.0309986,0.061503,0.262934,164400,0.75
0.215139,0.556854,1,0.0558523,0.0614525,0.0274952,0.0605164,0.187591,156500,0.75
0.216135,0.556854,0.627451,0.00356071,0.00465549,0.0160318,0.00756455,0.232762,225000,0.75
0.215139,0.556854,0.941176,0.0300371,0.0316574,0.0138177,0.0342049,0.326402,174200,0.75
0.215139,0.556854,1,0.0271631,0.0297952,0.0154713,0.0310804,0.2225,166900,0.75
0.214143,0.556854,0.862745,0.0448649,0.0513656,0.024272,0.0536096,0.282024,163500,0.75
0.216135,0.557917,0.745098,0.0156417,0.0145872,0.00653045,0.0172669,0.328127,253000,0.75
0.216135,0.557917,0.784314,0.035836,0.0360025,0.0174613,0.0350271,0.454311,240700,0.75
0.216135,0.557917,0.882353,0.0535887,0.0599007,0.0257574,0.0539385,0.239397,208100,0.75
0.215139,0.557917,0.901961,0.0312071,0.0375543,0.016228,0.0419339,0.169067,198100,0.75
0.215139,0.557917,0.960784,0.0242128,0.0335196,0.015219,0.0328893,0.149432,172800,0.75
0.216135,0.560043,0.705882,0.0417366,0.0405028,0.0172931,0.0435784,0.341009,336700,0.75
0.216135,0.55898,0.647059,0.0344117,0.0301055,0.0123042,0.0319026,0.398884,318200,0.75
